coin,date,target,price_change_percent,price_trend_7d,volatility_7d,avg_volume_7d,avg_price_7d,news_volume_change,sentiment_change,positive_change,negative_change,negative_spike,positive_spike,price_sentiment_alignment,divergence
btc,2025-09-26,1,0.6852555252105409,-5.786376232706674,2272.7205983682124,44028192769.85714,113382.68742048551,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-09-28,1,2.2687225594463025,-4.899783411367587,2149.376922967121,47668255055.71429,111667.50072408603,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-09-29,1,1.9319841819074444,-0.4917332875736982,1599.4904621977737,49470475106.57143,111215.79981457979,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-01,1,3.9281271770470014,0.620945302136726,2092.6714864564465,49505471799.28571,111732.15286471753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-02,1,1.7792547427457763,8.754960829247693,3165.4919064828678,52825848351.42857,112472.53506930536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-03,1,1.3584357842897072,9.936641716182336,3867.3112376488248,52364570397.28571,114136.56206644168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-05,1,0.9194635557218803,9.129773935019442,3920.9638282155825,58045276966.57143,117746.0006372454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-06,1,1.0261211034997604,8.045755528755674,3604.5933434733856,63864824351.28571,119369.37371906683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-07,0,-2.608528317545243,9.427189816844415,3357.448162733326,65546637948.71429,120864.28197900252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-08,1,1.5090254383865394,2.54466570135127,1871.7909517158942,68170778362.85714,121934.92885046682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-09,0,-1.3412570819882002,2.2724041904150085,1276.0957031614196,67121614607.14286,122627.68033013928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc,2025-10-10,0,-6.981452353643809,-0.4516323229104029,1071.0814798947383,67242251178.0,122782.86769469253,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-11,0,-2.0747242836046174,-7.500511649862379,3542.5670439364167,76934648703.85715,121490.23751940124,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-12,1,3.9118925623128007,-10.244886554401813,5088.068479863621,87432111445.42857,119843.40602714501,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-14,0,-1.7928073708768966,-5.181482369614251,4486.514028174953,90457096304.85715,117290.85760626927,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-15,0,-2.1632856506933242,-8.265689819007605,4311.602608691036,92617663486.14285,116096.25953520047,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-16,0,-2.37735761595068,-9.030023738829586,3457.174046276575,93517848642.0,114289.99735428079,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-17,0,-1.511071524215527,-4.527326163024869,2416.739889419307,95328684947.71428,112344.09706178775,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
btc,2025-10-18,1,0.669266491038041,-3.9777904516287994,3126.8418372289952,87231974048.42857,111378.65010585308,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
